Point,Frame,Time,Gaze_angle_x,Gaze_angle_y
1,1,0.0,-0.10200214533569028,-0.1484830926106165
1,2,1.0904603004455566,-0.0540994693260668,-0.1915022118752888
1,3,1.5046882629394531,-0.043692361812507734,-0.16878201081339608
1,4,1.8896663188934326,-0.01171281972863777,-0.17509040768336595
1,5,2.279419183731079,-0.013617914947761071,-0.19507739391988013
1,6,2.6421456336975098,-0.10516540742076197,-0.17800620201985004
1,7,3.0163700580596924,-0.018021035882739136,-0.38115516794310184
1,8,3.385119676589966,-0.06596713281803661,-0.16772173287502704
1,9,3.787236213684082,-0.05383055397354954,-0.1989556840823292
1,10,4.177126169204712,-0.050170135353893766,-0.20908339421081643
1,11,4.5838165283203125,-0.02226070356705242,-0.1814997404220098
1,12,4.9788782596588135,-0.013899056072238417,-0.2756760393313977
1,13,5.388893127441406,-0.019128363054240424,-0.2182657250229833
1,14,5.780187606811523,-0.07992613344545581,-0.14810187544952766
1,15,6.192171096801758,-0.03721705079285871,-0.17993613152458496
1,16,6.578896760940552,-0.06510322276479596,-0.16832112626660217
1,17,6.984746932983398,-0.045926279074916684,-0.16535524952891784
1,18,7.378333568572998,-0.012539079795029188,-0.1934549441048256
1,19,7.790191650390625,-0.03617469129814477,-0.18829245098356573
1,20,8.179929733276367,-0.025765404711305645,-0.20977016602186283
1,21,8.58273434638977,-0.031068773279283476,-0.15171031674416552
1,22,8.981867551803589,-0.04370956450233682,-0.1565693440138282
1,23,9.38105058670044,-0.03662742716766274,-0.18781062257720862
1,24,9.799761295318604,-0.00980100673974841,-0.19382650745111293
1,25,10.179416179656982,0.1291964435802641,-0.4638772143438396
1,26,10.580562829971313,0.025072221087633673,-0.19098978232140357
1,27,10.97711968421936,-0.014446036160339966,-0.19916959741352533
1,28,11.383872270584106,-0.03798047861611214,-0.2024193670550906
1,29,11.780965328216553,-0.06304630806242825,-0.19735201730417196
1,30,12.186268329620361,-0.006567441608476081,-0.4415784633059745
1,31,12.58235216140747,0.02418561949142578,-0.23048169403701443
1,32,12.982155323028564,-0.02575876785482475,-0.19363716819117996
1,33,13.378806114196777,-0.06671052825393076,-0.1990739315582496
1,34,13.785230875015259,-0.0624481726604118,-0.19323799012244325
1,35,14.17872929573059,0.04832801477847551,-0.46603880536020625
1,36,14.579410552978516,-0.04319311229950153,-0.21345286289371188
1,37,14.98091435432434,-0.040477895089942095,-0.2191175818677358
1,38,15.385207176208496,-0.05735507100216171,-0.23223355087980907
1,39,15.785441875457764,-0.05543682119804993,-0.24168117164423228
1,40,16.180384874343872,-0.03564205678823608,-0.2893697616783095
1,41,16.584351539611816,-0.06906797239927474,-0.2528281326137794
1,42,16.97883892059326,-0.04966023721479956,-0.28614160249811543
1,43,17.387730836868286,-0.035827280514766656,-0.2885624225545086
1,44,17.779628038406372,-0.017622636753246018,-0.25531184696483944
1,45,18.185136795043945,-0.031852570120192894,-0.26313449431915803
1,46,18.57840657234192,-0.054336755018318555,-0.23740025453688512
1,47,18.976412057876587,-0.05993493799466078,-0.41810800514776164
1,48,19.383049249649048,-0.03580340945970424,-0.24879226065419846
1,49,19.78234624862671,-0.015423204758173445,-0.2625173990784033
1,50,20.180654287338257,-0.044813721063823204,-0.24624922361608223
1,51,20.575721263885498,-0.05375945275101989,-0.255251937985295
1,52,20.98165249824524,0.06236369715371175,-0.4817908771945363
1,53,21.377362728118896,-0.09081773014132012,-0.2514864697169769
1,54,21.785439014434814,-0.044496071000417164,-0.3088843667552183
1,55,22.18580937385559,-0.07405367399238441,-0.2719131150850271
1,56,22.58144450187683,-0.04684820839903551,-0.25941597896871843
1,57,22.989120483398438,-0.0375556534599119,-0.38138719893273837
1,58,23.382046937942505,-0.06984479997409475,-0.25420534319862215
1,59,23.77548098564148,-0.0756746650396907,-0.24604034956191168
1,60,24.175448894500732,-0.02088965016785365,-0.28016317981364136
1,61,24.579543352127075,-0.05132073832212721,-0.2973551699456606
1,62,24.980961561203003,-0.04573437532277405,-0.2575331111586922
1,63,25.381765127182007,0.006635111131082203,-0.47303436009920274
1,64,25.778436422348022,-0.021289429508722924,-0.2825570355643532
1,65,26.17850947380066,-0.05827021376502777,-0.25574669198963823
1,66,26.58433699607849,-0.06903010881700113,-0.25921208329814405
1,67,26.98342728614807,-0.05227250840513855,-0.1937785895193182
1,68,27.3798086643219,0.019368154973306843,-0.42242207771168283
1,69,27.783586978912354,-0.06199023374041625,-0.19495823037888138
1,70,28.17587947845459,-0.03321839729354602,-0.2155622157449446
1,71,28.5823495388031,-0.07468535337993809,-0.2649061702782946
1,72,28.98022747039795,-0.09505389980723754,-0.25182408439624826
1,73,29.3864426612854,-0.03198646622334922,-0.39172771549111823
1,74,29.784079551696777,-0.03645286319112909,-0.27639077928036593
1,75,30.17684841156006,-0.03686690681539188,-0.25347448862575644
1,76,30.583001852035522,-0.07657503279281831,-0.23421808205584946
1,77,30.979312419891357,-0.05713941949075269,-0.27089640938317644
1,78,31.380859851837158,-0.05113673598374818,-0.23395602282918265
1,79,31.78878903388977,-0.018931542010766935,-0.27545320474580404
1,80,32.173667430877686,-0.03103712690069175,-0.21025945009013913
1,81,32.586533069610596,-0.020321814690093667,-0.23692084122786092
1,82,33.00081491470337,0.1563526207023406,-0.45152927844511
